,cookie_domain,stmt,No-data-collection,No-tracking,No-data-coll.-for-oba,No-display-OBA,Other
0,adsrvr.org,You are able to opt out of having new data associated with your device and to request that we disassociate from your device data we already have.,0,1,0,0,0
1,adsrvr.org,"You can directly access the Trade Desk's opt out, which will cease data collection and disassociate data from your device, by visiting http://www.adsrvr.org.",1,1,0,0,0
2,adsrvr.org,"After you opt out, data we have collected about your browser will be disassociated from your device.",0,1,0,0,0
3,adsrvr.org,You have opted out of targeted advertising from this ad server.,0,0,0,1,0
4,adsrvr.org,"If you use more than one computer, browser or browser profile, you will need to opt-out of cookies on every browser you use.",0,0,0,0,1
5,adsrvr.org,"If you clear or delete your cookies, this will result in the deletion of your opt-out cookie, meaning you will need to re-set the opt-out following the deletion.",0,0,0,0,1
6,adsrvr.org,"Even after opting out, you may continue to receive advertising through our services, but those ads may be less relevant.",0,0,0,0,1
7,rlcdn.com,"When you opt out of LiveRamp cookies, we place an opt-out cookie on your web browser, on our advertising domain that indicates you have chosen to opt out.",0,0,0,0,1
8,rubiconproject.com,"Should you wish to opt-out of the use of information about the websites you visit in order to serve targeted advertising to you using our display technology, you can do so using the opt-out tool on our website",0,0,1,0,0
9,rubiconproject.com,"When I opt out, please do NOT collect information about me using cookies and other tracking technologies.",1,1,0,0,0
10,rubiconproject.com,"When you enable this choice, we will place a cookie on your device that is unique to the browser and device you use to opt out.",0,0,0,0,1
11,demdex.net,Opt out of Adobe Experience Cloud Advertising Services,0,0,0,1,0
12,demdex.net,"Future visits to this page will not display your opted out choice even if you have not cleared out your cookies, but you are still opted out.",0,0,0,0,1
13,demdex.net,You can also visit the sites below to opt out of interest-based ads for all companies who are members of those groups.,0,0,0,0,1
14,tapad.com,"If you would like Tapad to stop collecting device data for the Tapad Graph and our associated Services, please click on our Opt-Out link displayed on this page.",1,0,0,0,0
15,tapad.com,Opt-out requests for browsers may be submitted directly to Tapad by clicking on the Opt-out buttons located here.,0,0,0,0,1
16,tapad.com,"Requests for opt-out do not require a Certification Form, and the browser-based cookie is automatically identified for opt-out purposes.",0,0,0,0,1
17,tapad.com,Please note that any information provided as part of your consumer rights request for opt-outs will only be used for the sole purpose of identifying your device in Tapad's systems.,0,0,0,0,1
18,pubmatic.com,"If you want to opt out from having PubMatic's services collect information via cookies about your Internet visits, for purposes of interest-based advertising, please use this opt-out option.",0,0,1,0,0
19,pubmatic.com,"When you opt out, an opt-out cookie will be stored in your browser.",0,0,0,0,1
20,pubmatic.com,Please note the following important information related to opting out,0,0,0,0,1
21,pubmatic.com,The opt-out only applies to the browser in the device in which you set it.,0,0,0,0,1
22,pubmatic.com,"For example, if you set the opt-out while using the Firefox browser, then the opt-out applies only to the Firefox browser on the device where it was set, not other browsers or devices.",0,0,0,0,1
23,bluekai.com,Oracle provides consumers with multiple ways to opt out of Oracle's use of your information for interest-based advertising.,0,0,1,0,0
24,mathtag.com,"When you opt out, MediaMath will collect data from your browser, app, or device only as needed to honor your opt-out and for limited research and development purposes to improve our browser- and device-recognition technology, which also helps to improve our ability to honor your opt-out.",0,0,1,0,0
25,mathtag.com,"When you opt out, MediaMath also stops targeting tailored advertising to the opted-out browser, app, or device.",0,0,0,1,0
26,mathtag.com,You may opt out from tailored advertising at any time through one of the ways described below.,0,0,0,1,0
27,mathtag.com,"If you opt out of tailored advertising, you will still see ads, but those ads are less likely to have anything to do with products or services you care about.",0,0,0,1,0
28,mathtag.com,You may opt out if you are using a browser by clicking the Click here to opt out link below.,0,0,0,0,1
29,mathtag.com,"You may opt out in mobile app environments using the AppChoices mobile application, where applicable, which you can download to your mobile device from your App Store or via the DAA AppChoices page here.",0,0,0,0,1
30,mathtag.com,You may learn more about tailored advertising and opt out of tailored advertising from MediaMath and other online advertising companies that are also members of applicable self-regulatory organizations by visiting their opt-out links,0,0,0,0,1
31,quantserve.com,"When you opt out, Quantcast deletes our existing cookie identifier associated with your browser, ceases collection of personal information from that browser for advertising or measurement purposes, and ceases using any previously-collected data for targeting ads to you.",0,1,1,0,0
32,quantserve.com,This opt-out does not have to do with unsubscribing your email address from email marketing lists,0,0,0,0,1
33,quantserve.com,If your opt out cookie is deleted or blocked we will not be able to see your choice,0,0,0,0,1
34,quantserve.com,"If you use different browser profiles or devices, you will have to opt out separately on those, since we are not able to access the opt-out cookie across different browsers or devices",0,0,0,0,1
35,bidswitch.net,"To opt-out from our cookies, please click this link.",1,0,0,0,0
36,bidswitch.net,If you opted-out in error you can reset your cookies by clicking on the link below,0,0,0,0,1
37,krxd.net,"To opt-out of targeted advertising that is provided to us and to third parties by Salesforce Audience Studio, click here.",0,0,0,1,0
38,krxd.net,"For some consumers, this could mean opting out of targeting altogether.",0,0,0,1,0
39,krxd.net,Salesforce Audience Studio offers a one click opt-out solution for users who wish to opt-out of targeting via the Salesforce Audience Studio technology Platform.,0,0,0,1,0
40,krxd.net,"If you choose to opt-out, Salesforce Audience Studio deletes any targeting data it may have for your browser, and we will no longer enable our Clients to target that browser using our technology Platform.",0,0,1,0,0
41,krxd.net,"It works by giving you a simple way to exercise control over the data that you provide, and gives you the ability to opt-out from use of that data via the Salesforce Audience Studio Platform.",0,0,0,0,1
42,krxd.net,"Clicking on the opt-out button will result in a persistent 'cookie' placed in your web browser by Salesforce Audience Studio, identifying you as being on the Salesforce Audience Studio 'do not target' list.",0,0,0,0,1
43,krxd.net,"Please note that if you delete, block, or otherwise restrict cookies, or if you use a different computer, device or Internet browser, you will need to renew your opt-out choice.",0,0,0,0,1
44,krxd.net,"Also, because we utilize HTML5 cookies to record your opt-out choice, it may take an additional visit to one of our Clients' websites for your opt-out choice to go into effect.",0,0,0,0,1
45,scorecardresearch.com,"To opt-out of having ScorecardResearch's market research programs associated with your browser, please click here.",0,1,0,0,0
46,scorecardresearch.com,"This opt-out will also prevent you from receiving invitations to participate in market research surveys from ScorecardResearch or VoiceFive, Inc. (an affiliate of Full Circle Studies, Inc., that offers surveys across the Internet).",0,0,0,0,1
47,scorecardresearch.com,"However, it is important that you understand that this opt-out is cookie based (i.e., a cookie must be on your computer to tell our systems that you have opted-out).",0,0,0,0,1
48,scorecardresearch.com,"So, if you delete, block or otherwise restrict cookies, this opt-out may not be effective.",0,0,0,0,1
49,scorecardresearch.com,"Additionally, because different computers and different Internet browsers all require their own version of the opt-out cookie, you need to perform this opt-out process on any computers and browsers that you want to be opted-out.",0,0,0,0,1
50,crwdcntrl.net,"To opt-out of the collection and use of data by Lotame for online interest-based advertising on your browser (including a mobile browser if third-party cookies are enabled in your browser), you can click the button below.",0,0,1,0,0
51,crwdcntrl.net,"Generally, you can opt-out of the collection of data across unaffiliated sites over time for Interest-Based Advertising and other purposes from companies participating in the Digital Advertising Alliance Consumer Choice Page at www.aboutads.info/choices and from members of the Network Advertising Initiative via www.networkadvertising.org/choices.",0,0,0,0,1
52,crwdcntrl.net,"Additionally, Lotame provides you with the ability to opt-out of the collection and use of your information for interest-based advertising via all of Lotame's Services.",0,0,0,0,1
53,amazon-adsystem.com,You can obtain further information on interest-based ads and opt-out of receiving interest-based ads from third party advertisers and ad networks who are members of the Network Advertising Initiative (NAI) or who follow the DAA's Self-Regulatory Principles for Online Behavioral Advertising by visiting the opt out pages on the NAI website and DAA website.,0,0,0,0,1
54,turn.com,"The Amobee Opt Out Mechanism will only opt you out of tailored advertising delivered by Amobee in this browser or in mobile applications on this device (e.g., phones, tablets).",0,0,0,1,0
55,turn.com,"If you opt out, you will still see ads, including contextually tailored ads (i.e., ads tailored to the current website or app you are viewing) and ads based on your current location, they just may not be relevant to your interests.",0,0,0,1,0
56,exelator.com,"This page enables users to opt out of collection and use of personal data in connection with Nielsen Marketing Cloud services, including sales of personal data or information under relevant laws as described below.",1,0,0,0,0
57,exelator.com,"If you opt out, no additional informational cookies will be delivered to you from the Nielsen Marketing Cloud, and Nielsen Marketing Cloud will no longer process your personal data in connection with personalized advertising activities (or sell your personal data or information as defined by relevant laws) conducted online via Nielsen Marketing Cloud and its partners.",1,0,0,0,0
58,exelator.com,Please note that by opting out through this interface you are only opting out of collection and use of your personal data online (i.e. via your browser).,1,0,0,0,0
59,exelator.com,"For more information, including information about how to opt out on other types of devices, review the Nielsen Marketing Cloud full Privacy Statement at: https://www.nielsen.com/us/en/legal/privacy-statement/nielsen-marketing-cloud-privacy-notice/?#users-choice",0,0,0,0,1
60,exelator.com,You can also review the opt-out tool from the Network Advertising Initiative to make choices about how other organizations collect and use your data: https://thenai.org/opt-out/,0,0,0,0,1
61,simpli.fi,"If you wish us not to collect these events and thus, to deliver an untargeted advertising experience, please click the opt-out button below",0,0,1,0,0
62,rfihub.com,Sizmek provides the following options for controlling your choices or opting out of Sizmek data collection for ad serving and for interest-based advertising.,0,0,1,0,0
63,rfihub.com,"If you have previously opted out, and would like to reverse your setting, Click Here to opt back in.",0,0,0,0,1
64,rfihub.com,Sets the Sizmek opt-out cookie for the browser in which the user's opt-out choice is made.,0,0,0,0,1
65,sitescout.com,"By choosing the enhanced opt-out option below, a new sync will be triggered to notify those partners to overwrite the previously synced ID with the string cookie-optout.",0,0,0,0,1
66,sitescout.com,For additional options to opt out of tracking by other,0,0,0,0,1
67,sitescout.com,"The opt-out requires a cookie to be stored by your browser, in order to signal your opt-out status to us during future ad calls.",0,0,0,0,1
68,sitescout.com,"By opting-out, you consent to Basis Technologies' opt-out cookie being stored by your browser.",0,0,0,0,1
69,bidr.io,Please click our opt out here if you'd like to opt-out from having Beeswax collect your information in connection with our technology.,1,0,0,0,0
70,bidr.io,"When you opt out, we will place an opt-out cookie on your computer.",0,0,0,0,1
71,bidr.io,"If you block, delete or restrict cookies in any way, your opt-out request will not work.",0,0,0,0,1
72,bidr.io,"Also, opt-out settings are specific to each browser or device, so you will need to set your opt-out preference for each one, and if you use a different computer or Internet browser, you may need to renew your opt-out choice.",0,0,0,0,1
73,bidr.io,"If you opt-out through this method, we will not use your personal information in our Services; however, we may continue to use your information collected for other purposes, such as our own marketing.",0,0,0,0,1
74,bidr.io,"If you wish to opt-out of such other uses of your information, see our Website Privacy Policy.",0,0,0,0,1
75,pippio.com,"By opting out, you will no longer be shown targeted advertisements which are powered by Arbor.",0,0,0,1,0
76,pippio.com,"Arbor is now part of LiveRamp, if you'd like to opt-out of LiveRamp, click here.",0,0,0,0,1
77,pippio.com,"Upon receiving an opt-out request on one device (eg, your current browser), we automatically propagate that opt-out preference to each of your connected devices which we are aware of, both now and in the future.",0,0,0,0,1
78,pippio.com,There are several ways to opt-out.,0,0,0,0,1
79,pippio.com,"You may simply opt-out your current browser, which may lose effectiveness when you switch browsers or clear your cookies, or you can opt-out a specific email address or Android Advertising ID (AAID.)",0,0,0,0,1
80,pippio.com,Opting out an email address or AAID is a permanent opt-out that is stored on our servers forever.,0,0,0,0,1
81,dotomi.com,"If you do not want us or our service providers to place a cookie on your hard drive, you may be able to turn that feature off in your browser or device settings, and you may opt out here from our use of Beeswax cookies on your device.",1,0,0,0,0
82,dotomi.com,"By clicking on the links below, you can view and delete the data Conversant uses to serve you ads and opt out of data collection and advertising from our cookie, which utilizes Conversant's technology.",0,0,1,0,0
83,adform.net,You can opt-out from tracking and Adform's unique cookie identifiers here.,0,1,0,0,0
84,adform.net,"When you opt-out, any data we hold will be disassociated from your browser and device and not used for ad targeting anymore.",0,1,1,0,0
85,adform.net,Adform needs to set an anonymous opt-out cookie to indicate your decision not to be tracked.,0,1,0,0,0
86,adform.net,Your opt-out will remain in effect only as long as this cookie is present in your browser and accessible to Adform.,0,0,0,0,1
87,adform.net,Cookies are browser and device-specific - opting out of tracking on this browser and device does not affect your settings on a secondary device and/or browser.,0,0,0,0,1
88,adform.net,"Some browsers (e.g. Safari) limit cookie functionalities by default - in consequence, your opt-out may not work as intended.",0,0,0,0,1
89,3lift.com,It does mean that the company from which you have opted out of receiving interest-based advertising will no longer deliver interest-based ads to you on a particular browser or device.,0,0,0,1,0
90,3lift.com,For browsers we offer a cookie-based opt-out.,0,0,0,0,1
91,3lift.com,"When you opt out in a web browser, an opt-out cookie will be stored in your browser.",0,0,0,0,1
92,3lift.com,"Once the opt-out is set, the opt-out is retained, but data previously stored in our Services ages out after about 30 days.",0,0,0,0,1
93,3lift.com,You can opt-out of receiving ads that are personalized by our clients and partners using our technology by using the opt-out tool below.,0,0,0,1,0
94,onaudience.com,"If you do not want to see personalized ads from our partners, you can opt out at any time by clicking the button below.",0,0,0,1,0
95,onaudience.com,An opt-out cookie will be installed in your browser and block the placement of cookies from OnAudience.,1,0,0,0,0
96,onaudience.com,"Please note that for multiple browsers and devices, you must opt out on each browser or device, and if you delete your browser cookies you must opt out again.",0,0,0,0,1
97,onaudience.com,Opting out is equivalent to using Do not sell my personal data functionality as required by the CCPA (California Consumer Privacy Act).,0,0,0,0,1
98,fifty.com,Opt out of data collection.,1,0,0,0,0
99,stackadapt.com,Press the button below if you wish to opt out of StackAdapt's cookie mechanism for tracking and ad targeting purposes on this website.,0,1,0,1,0
100,stackadapt.com,"When you opt out, an opt-out cookie will be stored on your web browser for srv.stackadapt.com.",0,0,0,0,1
101,stackadapt.com,"If you disable, block, or delete this cookie, your opt-out choice will not be known.",0,0,0,0,1
102,acuityplatform.com,California data subjects may opt-out of the sale of their personal information by clicking the above links.,0,0,0,0,1
103,acuityplatform.com,"Also, where we receive a request to opt-out of your sale of personal information from a publisher, or SSP we will apply that opt-out request as well.",0,0,0,0,1
104,acuityplatform.com,"If you opt-out from that processing, AcuityAds will set a cookie on your browser that tells AcuityAds not to tailor ads to your interests - including IBA and cross-device ads.",0,0,0,1,0
105,acuityplatform.com,"Opting out does not mean you will not be served an ad by AcuityAds, but the ads we serve will be less relevant to your interests.",0,0,0,1,0
106,acuityplatform.com,Please note that the opt-out cookie only applies to the computer and browser where it is set.,0,0,0,0,1
107,acuityplatform.com,"Also, if you delete the opt-out cookie (such as by clearing all cookies on your browser), you will need to renew your opt-out choice.",0,0,0,0,1
108,agkn.com,"If you would like to opt-out of Neustar's use of information about you in connection with Cookie-based marketing and analytics services, click here for a simple, easy to use link",0,0,1,0,0
109,agkn.com,"Alternatively, you can also opt out of the use of Neustar services Cookies by using the Network Advertising Initiative (NAI) Consumer Opt-Out tool, the Digital Advertising Alliance (DAA) tool here, or the European Digital Advertising Alliance (EDAA) Opt-Out tool.",0,0,0,0,1
110,home.neustar,Click here to opt out of the use of Cookies on Neustar websites,1,0,0,0,0
111,creativecdn.com,You may also opt out specifically from RTB House tracking technology that will prevent us from collecting information from your browser and result in the deletion or effective anonymization of all data previously collected.,1,1,0,0,0
112,creativecdn.com,Opt Out to no longer see personalized ads from RTB House,0,0,0,1,0
