,cookie_domain,stmt,No-data-collection,No-tracking,No-data-coll.-for-oba,No-display-OBA,Other
113,creativecdn.com,An opt-out cookie will be installed in your browser and block the placement of cookies from RTB House.,1,0,0,0,0
114,creativecdn.com,"Please note that for multiple browsers and devices, you must opt out on each browser or device, and if you delete your browser cookies you must opt out again.",0,0,0,0,1
115,owneriq.net,"If you do not want to receive ads displayed by ownerIQ based on your browsing, you can opt out as described below.",0,0,0,1,0
116,spotxchange.com,Opt out of our cookie anytime by clicking the button below,1,0,0,0,0
117,technoratimedia.com,"If you do not want to receive interest-based ads from searchandnews.com, you can disable the display of such ads by clicking on the opt-out button below.",0,0,0,1,0
118,technoratimedia.com,"You have opted out of the sale of your personal data, searchandnews.com will instruct our partners and third-parties that they may not use your personal data to serve you personalized content and advertisements.",0,0,0,0,1
119,technoratimedia.com,Please note that an opt out will not prevent you from seeing advertisements on technorati.com.,0,0,0,0,1
120,technoratimedia.com,"Because our tracking mechanisms operate at the device and browser level, to fully opt-out across devices, you will need to do so on each device and browser individually.",0,0,0,0,1
121,mxptint.net,"For that reason, we offer users the ability to opt out of the use of their online behavior to select ads.",0,0,1,0,0
122,mxptint.net,"When your browser has this cookie, Valassis' systems will know that you have opted out and will not attempt to target ads based on your online browsing activities.",0,0,0,1,0
123,gumgum.com,"By choosing to opt-out, you are opting out of the behavioral targeting.",0,0,0,1,0
124,gumgum.com,We have placed an opt-out cookie on your computer which tells us not to use your information for delivering targeted online advertisements.,0,0,1,0,0
125,gumgum.com,"At this time, there is no way to opt out of receiving GumGum's advertising, however you always have the option to close each ad individually.",0,0,0,0,1
126,gumgum.com,Your opt-out choice is stored in an opt-out cookie only in this browser.,0,0,0,0,1
127,gumgum.com,"Deleting browser cookies can remove your opt out preference, so you should visit this page periodically to review your preference.",0,0,0,0,1
128,gumgum.com,Your opt-out choice has been recorded.,0,0,0,0,1
129,adgrx.com,You can opt out of interest-based advertising supported by the AdGear platform.,0,0,0,1,0
130,adgrx.com,"When you choose to opt out of interest-based ads via the AdGear platform, an opt-out cookie will be stored in your web browser.",0,0,0,0,1
131,adgrx.com,AdGear's platform will know the choice you have made when it reads your opt-out cookie and will apply your choice to all advertisers that use our platform.,0,0,0,0,1
132,adgrx.com,"Should you delete the opt-out cookie, you will not be opted out and will need to allow cookies from AdGear again in order to renew your opt-out choice.",0,0,0,0,1
133,ipredictive.com,You can opt out of interest-based advertising from Adelphic by following the instructions below for web browsers and for mobile apps.,0,0,0,1,0
134,ipredictive.com,"To opt out of interest-based advertising from Adelphic via a web browser, click here in your browser.",0,0,0,1,0
135,ipredictive.com,"When you opt-out, we will drop an opt-out cookie on your browser that tells our servers not to engage in interest-based advertising on that browser.",0,0,0,1,0
136,smartadserver.com,"If you wish to opt-out, click here.",0,0,0,0,1
137,smartadserver.com,"A blank page will open, confirming the opt-out process has been completed and Smart will no longer place cookies on your computer.",1,0,0,0,0
138,smartadserver.com,"However, please note that some websites may not be accessible or function properly if you decide to opt-out from all cookies.",0,0,0,0,1
139,smartadserver.com,"Please note that for us to acknowledge your desire to opt-out, one cookie will be placed on your device in order to ensure the performance of your opt-out.",0,0,0,0,1
140,smartadserver.com,"Moreover, this opt-out will only be available for the device on which it was created.",0,0,0,0,1
141,eyereturn.com,"If you do not wish to have Eyereturn use your information for tailoring advertisements and the presentation of customized content, you may opt-out at any time by doing any of the following",0,0,0,1,0
142,eyereturn.com,Please check your opt-out status below.,0,0,0,0,1
143,eyereturn.com,"If you have not opted-out, you will see an Opt-out button.",0,0,0,0,1
144,eyereturn.com,"Please note that if you delete or block party cookies, change Web browsers, or use a different computer, you will need to undertake the opt-out again.",0,0,0,0,1
145,zemanta.com,"If you no longer want to see interest based advertising, please click on the opt-out button below.",0,0,0,1,0
146,zemanta.com,"Please note that you will still see ads if you opt out, they just won't be interest-based or otherwise targeted to you.",0,0,0,1,0
147,postrelease.com,You can opt out of all targeting of any Ads by all Advertisers using Nativo's services using Personal Data collected on your browser by clicking below,0,0,0,1,0
148,postrelease.com,"When you opt out of receiving interest-based Ads, we will stop collecting Personal Data from the browser that you used to opt out for purposes of targeting Ads.",0,0,1,0,0
149,postrelease.com,"Note that if you use multiple devices and/or web browsers, you would need to visit this link on each browser/device to fully opt-out of interest-based Advertising.",0,0,0,0,1
150,postrelease.com,Opting-out from your Desktop Browser.,0,0,0,0,1
151,postrelease.com,What Your Rights are (including your 'opt-out' rights).,0,0,0,0,1
152,liadm.com,You can opt-out of the cookie-based portion of the LiveIntent Advertising Program by clicking here.,1,0,0,0,0
153,liadm.com,Visit the Network Advertising Initiative and the Digital Advertising Alliance to see your opt-out choices from other participating companies.,0,0,0,0,1
154,districtm.io,"By clicking the opt out link below, the main identification cookie in this browser will be deleted and replaced with an opt out cookie that will prevent District M from identifiying this device",0,1,0,0,0
155,cogocast.net,Opting Out of Tracking,0,1,0,0,0
156,cogocast.net,"You may opt-out of CogoCast's Services and Site at any time, by setting a cookie which tells CogoCast's system to ignore you.",0,0,0,0,1
157,cogocast.net,You are currently opted out of CogoCast tracking.,0,1,0,0,0
158,cogocast.net,Please note that when you opt-out we still need to maintain a cookie on your computer in order to recognize that you've opted out.,0,0,0,0,1
159,cogocast.net,"You must opt-out in this same manner again if you want to clear that cookie from your browser, or if you use a different Internet browser or different computer to access the Internet.",0,0,0,0,1
160,creative-serving.com,To enable our cookies please click 'opt-out'.,0,0,0,0,1
161,admixer.net,"Please note that by opting out, you still will receive advertising when you visit any websites.",0,0,0,0,1
162,bttrack.com,Bidtellect will set an opt out cookie in your browser,0,0,0,0,1
163,media.net,"If you don't want to see ads personalized to your interests from Media.net, you may do so by selecting the opt-out choice on this page.",0,0,0,1,0
164,media.net,"Once you have opted out, Media.net will not use any data collected by its cookies to influence or personalize Media.net ads.",0,0,0,1,0
165,media.net,Your preference (to opt-out) will be stored in an opt-out cookie.,0,0,0,0,1
166,media.net,You may also opt out of Media.net and other Network Advertising Initiative members on the NAI site.,0,0,0,0,1
167,media.net,"To find out more and/or opt-out of NAI member cookies, click here.",0,0,0,0,1
168,resetdigital.co,"If not, simply click Opt-out.",0,0,0,0,1
169,extend.tv,This opt-out cookie tells us not to collect your non-personally identifiable information in order to tailor the ads that you see while online.,0,0,1,0,0
170,extend.tv,"Please note that if you delete, block or otherwise restrict cookies, or if you use a different computer or Internet browser, you may need to renew your opt-out choice.",0,0,0,0,1
171,33across.com,"Currently, you are opted-out of 33Across ad targeting.",0,0,0,1,0
172,yieldmo.com,Opt out of Yieldmo enabled tailored ads,0,0,0,1,0
173,yieldmo.com,Please understand that Yieldmo will set an opt-out cookie on your browser to save your preference.,0,0,0,0,1
174,admedo.com,"Choosing not to see personalised ads, changing your recommendations and opting out of your browsing history will not affect other services that use the same technology, such as cookies, and information may still be collected for other purposes.",0,0,0,0,1
175,eqads.com,You may opt-out of interest-based advertising on your browser by clicking the button below.,0,0,0,1,0
176,brand-display.com,"If you prefer that we do not collect information about your visit, you may opt out by clicking here",1,0,0,0,0
177,brand-display.com,Remember that opting out is browser-specific.,0,0,0,0,1
178,brand-display.com,"So, if you have multiple browsers or multiple devices you use to access the internet and the Websites, you'll need to opt out from each device or browser.",0,0,0,0,1
179,brand-display.com,These are some tools that you can use to conveniently opt-out,0,0,0,0,1
180,appier.net,"In addition, you can opt out of receiving targeted ads in connection with Appier's technology by clicking here.",0,0,0,1,0
181,appier.net,Opting out does not mean you will not see advertising - it means you will not see personalized advertising from the companies that participate in the opt-out programs.,0,0,0,1,0
182,appier.net,"Also, if you delete cookies on your device after you opted out, you will need to opt-out again.",0,0,0,0,1
183,pswec.com,"If you do not want to receive interest based online advertising via Proclivity Cookies, click below to opt-out.",0,0,0,1,0
184,pswec.com,"However, such browser changes may impact the effectiveness of the opt-out choice provided by Proclivity via an opt-out cookie, and consumers will need to repeat the opt-out process after changing browsers, computers or deleting their cookies.",0,0,0,0,1
185,eyeota.net,"For California consumers, the presence of the non-unique opt-out cookie means that we will stop the sale of Platform Data.",0,0,0,0,1
186,eyeota.net,Data subjects in California have the right to opt-out from Eyeota's sale of Platform Data.,0,0,0,0,1
187,eyeota.net,Data subjects in the rest of the United States and many other places have the right to opt-out from many forms of ad targeting.,0,0,0,0,1
188,lkqd.net,"To opt out of all LKQD Platform targeting and tracking, please click the 'Opt Out' button below or opt out from 'LKQD Technologies, Inc' via the DAA Consumer Choice Page, which is located here",0,1,0,0,0
189,adroll.com,"After you opt out, data we have collected about your browser will be disassociated from your device.",0,1,0,0,0
190,adroll.com,"When you click Opt-Out, the request may take up to 24 hours to process in our system.",0,0,0,0,1
191,adroll.com,If you delete or clear your cookies you will need to opt out again.,0,0,0,0,1
192,adroll.com,If you update your browser you will need to opt out again.,0,0,0,0,1
193,myvisualiq.net,You can opt out of VIQ's data collection using pixel technology by following this link,1,0,0,0,0
194,myvisualiq.net,Note: We store your opt-out preference on web browsers in a cookie.,0,0,0,0,1
195,myvisualiq.net,"If you delete your cookies, this will remove our ability to recall that you have chosen to opt-out of data collection, and you will be effectively opted back in.",0,0,0,0,1
196,reson8.com,"If you do not wish for us to collect and use information collected across non-affiliated sites over time (i.e., Web Viewing Data and mobile application use data) or maintain information associated with your browser or device, and the browsers and devices we may associate with it, for the purpose interest-based advertising, or the targeting of advertisements based on the inferences we make from the information we collect, you may choose to opt-out by either clicking opt-out in the footer or by clicking here",0,0,1,0,0
197,id5-sync.com,"If you have not already chosen to do so, you can click the button below (or go directly to https://id5-sync.com/privacy/optout) to opt out of having the Platform used to enable our clients to more efficiently serve your relevant ads.",0,0,0,1,0
198,id5-sync.com,"When you opt out, an opt-out cookie (from id5-sync.com) will be stored in your web browser.",0,0,0,0,1
199,id5-sync.com,"The Platform will know the choice you have made when it sees your opt-out cookie, and will apply your choice to all companies using the Platform.",0,0,0,0,1
200,id5-sync.com,"If you block or delete the ID5 opt-out cookie, you will cease to be opted out with respect to the Platform and will need to perform the opt-out process again.",0,0,0,0,1
201,adnxs.com,You can turn off personalized ads across the web from Xandr by opting out.,0,0,0,1,0
202,adnxs.com,You can click below to opt out of having the Xandr Digital Platform used to select ads for your browser based on your online web browsing behavior.,0,0,0,1,0
203,adnxs.com,"If you block or delete the opt out cookie, you will not be opted out and will need to allow cookies from Xandr and renew your opt-out choice.",0,0,0,0,1
204,adnxs.com,The below 'opt out' functionality also prevents Xandr from selling personal information about you under California law.,0,0,0,0,1
205,app.link,"Where Branch detects the presence of that opt-out cookie, we will no longer set cookies (beyond the opt-out cookie itself).",1,0,0,0,0
206,app.link,Our cookie-based opt-out can be accessed by clicking here.,0,0,0,0,1
207,app.link,This will place a Branch opt-out cookie on your browser.,0,0,0,0,1
208,trustx.org,"You may opt-out directly with TRUSTX by clicking this Do Not Deliver Interest-Based Advertising link, which will set a TRUSTX opt-out cookie on your browser.",0,0,0,1,0
209,trustx.org,"The opt-out cookie is unique to the device through which you have opted-out, and there are cases where the cookie may not function properly if you have configured your browser to reject certain cookies.",0,0,0,0,1
210,trustx.org,"Further, if you change browsers or your device, or delete the cookies on your device, you will need to opt-out again",0,0,0,0,1
211,rkdms.com,Opt Out of Online Data Collection for Interest-Based Advertising,0,0,1,0,0
212,taboola.com,"If you do not want to receive interest-based ads from Taboola, you can disable the display of such ads by clicking on the opt-out button below.",0,0,0,1,0
213,taboola.com,"Rather, the opt out will prevent Taboola from using your Information to tailor these recommendations to your interests.",0,0,0,1,0
214,taboola.com,"You have opted out of tracking, Taboola will no longer serve you with personalized content recommendations based on your Internet use history.",0,1,0,0,0
215,taboola.com,"Because our tracking mechanisms operate at the device and browser level, to fully opt-out across devices, you will need to do so on each device and browser individually.",0,0,0,0,1
216,taboola.com,"If your browsers are configured to reject cookies, your opt-out may not be effective, since we identify your choice to opt-out based on an opt-out cookie we deliver to you.",0,0,0,0,1
217,adtelligent.com,"If not, simply click Opt Out.",0,0,0,0,1
218,adtelligent.com,"We remember opt-outs by storing an Opt Out cookie on your browser, so if you delete your cookies you will need to opt out again.",0,0,0,0,1
219,adtelligent.com,"Please also note that Opt Outs are specific to the browser you use so, if you use multiple browsers, you will need to opt out on each browser.",0,0,0,0,1
220,advangelists.com,You can opt-out of receiving ads that are personalized by our clients using our technology by using the opt-out tool below.,0,0,0,1,0
221,advangelists.com,"Once you opt-out, we will no longer collect any information from your device and as a result, our clients will not be able to serve you ads that are targeted to your interests using our technology.",1,0,0,0,0
222,nrich.ai,"If you don't accept us to take advantage of cookies for advertising using the advertising channels N.Rich is connected to and behavioral analytics purposes, please click the Opt-out button above",0,0,1,0,0
223,nrich.ai,"We remember opt-outs by storing an opt-out cookie on your browser, so if you delete your cookies you will need to opt-out again.",0,0,0,0,1
224,nrich.ai,"In order to opt-out or update your preferences related to targeted advertising on Google and Facebook, please use these links: Google ads settings, Facebook ad preferences.",0,0,0,0,1
225,clickagy.com,"To opt-out of our behavioral tracking technologies, click below",0,1,0,0,0
226,skimresources.com,"If you no longer want Skimlinks to store data about the websites you visit, the links you click and the Merchants you buy from, you can simply opt-out here",1,0,0,0,0
227,skimresources.com,"If you opt-out to either one, your data will not be processed by Skimlinks.",1,0,0,0,0
228,skimresources.com,You have the right to opt-out of marketing communications we send you at any time.,0,0,0,0,1
229,skimresources.com,You can exercise this right by clicking on the unsubscribe or opt-out link in the marketing e-mails we send you.,0,0,0,0,1
230,adition.com,Doing so will create an opt-out cookie.,0,0,0,0,1
231,smaato.net,You can also click below to opt out of having the Smaato Ad services used to select ads for your browser based on your online web browsing behavior.,0,0,0,1,0
232,smaato.net,You have opted out from Smaato's cookies for interest-based advertising.,0,0,1,0,0
233,smaato.net,"Even if you opt out, Smaato may continue to collect data for other purposes and you still will receive advertising from the Smaato Ad Service when you visit websites of a Publisher who uses our Platform - but such advertising will not be personalized to you.",0,0,0,1,0
234,smaato.net,"When you opt out, an opt out cookie (from smaato.net) will be stored in your web browser.",0,0,0,0,1
235,smaato.net,"Our platform will know the choice you have made when it sees your opt out cookie, and will apply your choice to all companies using Smaato Ad services for online interest-based advertising from cookies.",0,0,0,0,1
236,alocdn.com,"When you opt out, we will cease sharing your Information with partners and clients for marketing purposes; however, opting out in this way will not immediately affect information that has already been passed to those partners or clients.",0,0,0,0,1
237,alocdn.com,You may opt-out from this process using this form.,0,0,1,0,0
238,alocdn.com,"The opt-out is applied only to the browser from which you make the choice, and the opt-out is cookie based.",0,0,0,0,1
239,alocdn.com,"That means if you disable, block, or delete this cookie, you may no longer be opted-out and you may need to opt-out again.",0,0,0,0,1
240,alocdn.com,Your TowerData cookie opt-out status,0,0,0,0,1
241,alocdn.com,You have not opted-out of cookies used by TowerData or your browser already blocks third-party cookies.,0,0,0,0,1
242,adkernel.com,"If you would prefer not to have Adkernel serve you relevant ads, you may opt-out here",0,0,1,0,0
243,adkernel.com,Use the links at the beginning of this page to opt-out of Adkernel's advertising related cookies.,0,0,1,0,0
244,ml314.com,"If you do not want to receive ads displayed by Bombora based on your online preferences, you can disable the display of Bombora ads here opt out.",0,0,0,1,0
245,undertone.com,Undertone offers an opt-out cookie for those that wish to opt-out of Undertone IBA activities.,0,0,0,1,0
